,Month,Measure,Inflation Index
846,2005-04,Transport,82.9
847,2005-04,All Items,87.77
848,2005-03,Train,77.04
849,2005-03,Transport Services,85.1
850,2005-03,Transport,82.0
851,2005-03,All Items,87.6
852,2005-02,Train,77.04
853,2005-02,Transport Services,85.4
854,2005-02,Transport,81.5
855,2005-02,All Items,87.05
856,2005-01,Train,75.76
857,2005-01,Transport Services,84.4
858,2005-01,Transport,80.5
859,2005-01,All Items,86.52
860,2004-12,Train,75.44
861,2004-12,Transport Services,85.3
862,2004-12,Transport,81.2
863,2004-12,All Items,87.0
864,2004-11,Train,75.64
865,2004-11,Transport Services,85.2
866,2004-11,Transport,81.4
867,2004-11,All Items,86.9
868,2004-10,Train,75.78
869,2004-10,Transport Services,85.1
870,2004-10,Transport,81.4
871,2004-10,All Items,86.85
872,2004-09,Train,75.78
873,2004-09,Transport Services,85.5
874,2004-09,Transport,80.6
875,2004-09,All Items,86.63
876,2004-08,Train,75.78
877,2004-08,Transport Services,88.4
878,2004-08,Transport,80.8
879,2004-08,All Items,86.55
880,2004-07,Train,75.78
881,2004-07,Transport Services,88.5
882,2004-07,Transport,80.2
883,2004-07,All Items,86.36
884,2004-06,Train,75.09
885,2004-06,Transport Services,84.4
886,2004-06,Transport,79.7
887,2004-06,All Items,86.5
888,2004-05,Train,75.09
889,2004-05,Transport Services,84.1
890,2004-05,Transport,79.9
891,2004-05,All Items,86.47
892,2004-04,Train,74.62
893,2004-04,Transport Services,84.4
894,2004-04,Transport,79.1
895,2004-04,All Items,86.15
896,2004-03,Train,74.09
897,2004-03,Transport Services,83.8
898,2004-03,Transport,78.5
899,2004-03,All Items,85.93
900,2004-02,Train,74.09
901,2004-02,Transport Services,84.1
902,2004-02,Transport,78.2
903,2004-02,All Items,85.59
904,2004-01,Train,74.09
905,2004-01,Transport Services,83.6
906,2004-01,Transport,78.0
907,2004-01,All Items,85.23
908,2003-12,Train,74.09
909,2003-12,Transport Services,84.6
